"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Arunachal Pradesh","Kurung Kumey","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Kurung Kumey","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Leparada","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Leparada","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Leparada","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Lohit","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Longding","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Longding","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Longding","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Lower Dibang Valley","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Lower Dibang Valley","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Lower Dibang Valley","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Lower Siang","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Lower Siang","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Lower Siang","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Lower Subansiri","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Lower Subansiri","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Lower Subansiri","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Namsai","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Namsai","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Namsai","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Pakke Kessang","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Pakke Kessang","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Pakke Kessang","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Papum Pare","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Shi Yomi","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Shi Yomi","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Shi Yomi","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Siang","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Siang","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Siang","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Tawang","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Tawang","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Tawang","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Tirap","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Tirap","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Tirap","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Upper Siang","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Upper Siang","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Upper Siang","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Upper Subansiri","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Upper Subansiri","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","Upper Subansiri","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","West Kameng","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","West Kameng","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Arunachal Pradesh","West Kameng","2024-01-03","2024","01","NA","IMD GRID MODEL"
